location,time_period,horizon_distance,sample,forecast
LA-AT,201009,0,0,57.15552121966577
LA-AT,201010,1,0,35.553761595713524
LA-AT,201011,2,0,25.208831444638353
LA-BK,201009,0,0,16.02085688500651
LA-BK,201010,1,0,9.40434311013502
LA-BK,201011,2,0,4.47768134321107
LA-BL,201009,0,0,315.90665070467253
LA-BL,201010,1,0,171.19717571723822
LA-BL,201011,2,0,121.12404449891132
LA-CH,201009,0,0,653.2444176394912
LA-CH,201010,1,0,406.02997392793407
LA-CH,201011,2,0,299.09650046531715
LA-HO,201009,0,0,10.534324395045346
LA-HO,201010,1,0,8.95426986337672
LA-HO,201011,2,0,7.966873128626437
LA-KH,201009,0,0,468.59528730076363
LA-KH,201010,1,0,274.42465796014403
LA-KH,201011,2,0,178.49151494120707
LA-LM,201009,0,0,30.653755991131273
LA-LM,201010,1,0,18.249857106106106
LA-LM,201011,2,0,14.628043907895444
LA-LP,201009,0,0,245.0347355847215
LA-LP,201010,1,0,172.8581046862377
LA-LP,201011,2,0,132.56302524466616
LA-OU,201009,0,0,81.38216366256425
LA-OU,201010,1,0,58.949091237691604
LA-OU,201011,2,0,30.468057601571182
LA-PH,201009,0,0,6.423811072356717
LA-PH,201010,1,0,6.0496119311548275
LA-PH,201011,2,0,5.76526117853668
LA-SL,201009,0,0,532.9193421096087
LA-SL,201010,1,0,332.08848112864035
LA-SL,201011,2,0,231.21437777332318
LA-SV,201009,0,0,750.3353219472804
LA-SV,201010,1,0,411.49283706244194
LA-SV,201011,2,0,312.89356363667565
LA-VI,201009,0,0,193.28808414447423
LA-VI,201010,1,0,46.2931358035038
LA-VI,201011,2,0,38.47607663798223
LA-VT,201009,0,0,2040.1535752873053
LA-VT,201010,1,0,1212.673351884454
LA-VT,201011,2,0,932.6529323388496
LA-XA,201009,0,0,59.45482522162578
LA-XA,201010,1,0,38.445148088985775
LA-XA,201011,2,0,24.956724118164217
LA-XE,201009,0,0,55.35630999937423
LA-XE,201010,1,0,35.17895202385971
LA-XE,201011,2,0,23.765662264093876
LA-XI,201009,0,0,33.033190407842106
LA-XI,201010,1,0,23.63628134820422
LA-XI,201011,2,0,19.20295095309682
LA-XN,201009,0,0,40.884022712209344
LA-XN,201010,1,0,29.988988307454
LA-XN,201011,2,0,13.221087599971096
LA-AT,201010,0,0,41.0354383305493
LA-AT,201011,1,0,26.273399467561145
LA-AT,201012,2,0,21.226206471480204
LA-BK,201010,0,0,18.23836578874478
LA-BK,201011,1,0,7.075950498755046
LA-BK,201012,2,0,4.50205625623949
LA-BL,201010,0,0,200.11975039465113
LA-BL,201011,1,0,117.52292741011846
LA-BL,201012,2,0,106.01155872614328
LA-CH,201010,0,0,632.6077994221005
LA-CH,201011,1,0,321.5828066002717
LA-CH,201012,2,0,285.6536604286143
LA-HO,201010,0,0,9.703918050692481
LA-HO,201011,1,0,8.791699712157994
LA-HO,201012,2,0,8.062367635862458
LA-KH,201010,0,0,295.9309213151006
LA-KH,201011,1,0,177.5196158347964
LA-KH,201012,2,0,158.00370997156762
LA-LM,201010,0,0,29.816319689688882
LA-LM,201011,1,0,17.33126546728902
LA-LM,201012,2,0,15.613202400026891
LA-LP,201010,0,0,279.76711704576707
LA-LP,201011,1,0,166.56010343747192
LA-LP,201012,2,0,154.393100411832
LA-OU,201010,0,0,92.93110346673454
LA-OU,201011,1,0,40.21068345296888
LA-OU,201012,2,0,35.95212724410699
LA-PH,201010,0,0,6.036027938564894
LA-PH,201011,1,0,5.782171243761193
LA-PH,201012,2,0,5.76331103631349
LA-SL,201010,0,0,473.1511583090939
LA-SL,201011,1,0,262.2814513418656
LA-SL,201012,2,0,238.20723725521856
LA-SV,201010,0,0,614.3270594252624
LA-SV,201011,1,0,305.7797300653411
LA-SV,201012,2,0,283.8134642036495
LA-VI,201010,0,0,72.54979086270797
LA-VI,201011,1,0,50.616512785207455
LA-VI,201012,2,0,28.876231895613472
LA-VT,201010,0,0,1574.6151614099933
LA-VT,201011,1,0,920.5216851951748
LA-VT,201012,2,0,849.0566324258963
LA-XA,201010,0,0,48.93293043150511
LA-XA,201011,1,0,26.339291417834993
LA-XA,201012,2,0,23.118766569300963
LA-XE,201010,0,0,51.73382786377482
LA-XE,201011,1,0,27.81371895069914
LA-XE,201012,2,0,22.007510268864436
LA-XI,201010,0,0,33.84930683984868
LA-XI,201011,1,0,21.968654343601415
LA-XI,201012,2,0,20.354261746315053
LA-XN,201010,0,0,10.977124815374413
LA-XN,201011,1,0,7.647052203939566
LA-XN,201012,2,0,8.228315269493034
